indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-01,Buenos Aires,1 y 2 estrellas,44811125,
2012-01,Buenos Aires,3 estrellas/boutiques/aparts,88000603,
2012-01,Buenos Aires,4 y 5 estrellas,68474623,
2012-01,Buenos Aires,Para Hoteles,81220502,
2012-01,CABA,1 y 2 estrellas,11029072,
2012-01,CABA,3 estrellas/boutiques/aparts,56296723,
2012-01,CABA,4 y 5 estrellas,182695499,
2012-01,CABA,Para Hoteles,11954191,
2012-01,Córdoba,1 y 2 estrellas,39007842,
2012-01,Córdoba,3 estrellas/boutiques/aparts,38231810,
2012-01,Córdoba,4 y 5 estrellas,14957365,
2012-01,Córdoba,Para Hoteles,56865597,
2012-01,Cuyo,1 y 2 estrellas,7091725,
2012-01,Cuyo,3 estrellas/boutiques/aparts,22746706,
2012-01,Cuyo,4 y 5 estrellas,55556439,
2012-01,Cuyo,Para Hoteles,9508794,
2012-01,Litoral,1 y 2 estrellas,9503494,
2012-01,Litoral,3 estrellas/boutiques/aparts,24394415,
2012-01,Litoral,4 y 5 estrellas,52611704,
2012-01,Litoral,Para Hoteles,23682298,
2012-01,Norte,1 y 2 estrellas,6329902,
2012-01,Norte,3 estrellas/boutiques/aparts,17523925,
2012-01,Norte,4 y 5 estrellas,19052348,
2012-01,Norte,Para Hoteles,10827669,
2012-01,Patagonia,1 y 2 estrellas,15857365,
2012-01,Patagonia,3 estrellas/boutiques/aparts,62188636,
2012-01,Patagonia,4 y 5 estrellas,67686060,
2012-01,Patagonia,Para Hoteles,39578721,
2012-02,Buenos Aires,1 y 2 estrellas,31641243,
2012-02,Buenos Aires,3 estrellas/boutiques/aparts,61189375,
2012-02,Buenos Aires,4 y 5 estrellas,53199920,
2012-02,Buenos Aires,Para Hoteles,67673606,
2012-02,CABA,1 y 2 estrellas,9882810,
2012-02,CABA,3 estrellas/boutiques/aparts,52295686,
2012-02,CABA,4 y 5 estrellas,173035401,
2012-02,CABA,Para Hoteles,11076576,
2012-02,Córdoba,1 y 2 estrellas,30580189,
2012-02,Córdoba,3 estrellas/boutiques/aparts,32726608,
2012-02,Córdoba,4 y 5 estrellas,12426811,
2012-02,Córdoba,Para Hoteles,47311431,
2012-02,Cuyo,1 y 2 estrellas,6550400,
2012-02,Cuyo,3 estrellas/boutiques/aparts,23481986,
2012-02,Cuyo,4 y 5 estrellas,58715362,
2012-02,Cuyo,Para Hoteles,7364298,
2012-02,Litoral,1 y 2 estrellas,8152783,
2012-02,Litoral,3 estrellas/boutiques/aparts,24699348,
2012-02,Litoral,4 y 5 estrellas,51879912,
2012-02,Litoral,Para Hoteles,24759651,
2012-02,Norte,1 y 2 estrellas,5390917,
2012-02,Norte,3 estrellas/boutiques/aparts,15073022,
2012-02,Norte,4 y 5 estrellas,20207415,
2012-02,Norte,Para Hoteles,9329583,
2012-02,Patagonia,1 y 2 estrellas,12195889,
2012-02,Patagonia,3 estrellas/boutiques/aparts,49102085,
2012-02,Patagonia,4 y 5 estrellas,55183674,
2012-02,Patagonia,Para Hoteles,31767465,
2012-03,Buenos Aires,1 y 2 estrellas,12260702,
2012-03,Buenos Aires,3 estrellas/boutiques/aparts,26481034,
2012-03,Buenos Aires,4 y 5 estrellas,25080741,
2012-03,Buenos Aires,Para Hoteles,33670871,
2012-03,CABA,1 y 2 estrellas,13514546,
2012-03,CABA,3 estrellas/boutiques/aparts,67983472,
2012-03,CABA,4 y 5 estrellas,260271016,
2012-03,CABA,Para Hoteles,12373426,
2012-03,Córdoba,1 y 2 estrellas,20596160,
2012-03,Córdoba,3 estrellas/boutiques/aparts,23335156,
2012-03,Córdoba,4 y 5 estrellas,12517574,
2012-03,Córdoba,Para Hoteles,17901625,
2012-03,Cuyo,1 y 2 estrellas,8411321,
2012-03,Cuyo,3 estrellas/boutiques/aparts,20147529,
2012-03,Cuyo,4 y 5 estrellas,58136575,
2012-03,Cuyo,Para Hoteles,4700716,
2012-03,Litoral,1 y 2 estrellas,7337712,
2012-03,Litoral,3 estrellas/boutiques/aparts,22779644,
2012-03,Litoral,4 y 5 estrellas,48858859,
2012-03,Litoral,Para Hoteles,21940616,
2012-03,Norte,1 y 2 estrellas,4414937,
2012-03,Norte,3 estrellas/boutiques/aparts,18057475,
2012-03,Norte,4 y 5 estrellas,19728556,
2012-03,Norte,Para Hoteles,7125714,
2012-03,Patagonia,1 y 2 estrellas,10163290,
2012-03,Patagonia,3 estrellas/boutiques/aparts,40244192,
2012-03,Patagonia,4 y 5 estrellas,46148166,
2012-03,Patagonia,Para Hoteles,19972910,
2012-04,Buenos Aires,1 y 2 estrellas,8696718,
2012-04,Buenos Aires,3 estrellas/boutiques/aparts,21979452,
2012-04,Buenos Aires,4 y 5 estrellas,21241417,
2012-04,Buenos Aires,Para Hoteles,23378113,
2012-04,CABA,1 y 2 estrellas,13950228,
2012-04,CABA,3 estrellas/boutiques/aparts,62387219,
