indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-01,Buenos Aires,1 y 2 estrellas,2529,
2012-01,Buenos Aires,3 estrellas/boutiques/aparts,3243,
2012-01,Buenos Aires,4 y 5 estrellas,1987,
2012-01,Buenos Aires,Para Hoteles,4251,
2012-01,CABA,1 y 2 estrellas,1082,
2012-01,CABA,3 estrellas/boutiques/aparts,3844,
2012-01,CABA,4 y 5 estrellas,8492,
2012-01,CABA,Para Hoteles,1759,
2012-01,Córdoba,1 y 2 estrellas,1720,
2012-01,Córdoba,3 estrellas/boutiques/aparts,1642,
2012-01,Córdoba,4 y 5 estrellas,960,
2012-01,Córdoba,Para Hoteles,2480,
2012-01,Cuyo,1 y 2 estrellas,1007,
2012-01,Cuyo,3 estrellas/boutiques/aparts,1857,
2012-01,Cuyo,4 y 5 estrellas,2583,
2012-01,Cuyo,Para Hoteles,929,
2012-01,Litoral,1 y 2 estrellas,925,
2012-01,Litoral,3 estrellas/boutiques/aparts,1910,
2012-01,Litoral,4 y 5 estrellas,3573,
2012-01,Litoral,Para Hoteles,1968,
2012-01,Norte,1 y 2 estrellas,775,
2012-01,Norte,3 estrellas/boutiques/aparts,1555,
2012-01,Norte,4 y 5 estrellas,1357,
2012-01,Norte,Para Hoteles,1384,
2012-01,Patagonia,1 y 2 estrellas,1758,
2012-01,Patagonia,3 estrellas/boutiques/aparts,2831,
2012-01,Patagonia,4 y 5 estrellas,3107,
2012-01,Patagonia,Para Hoteles,2712,
2012-02,Buenos Aires,1 y 2 estrellas,2528,
2012-02,Buenos Aires,3 estrellas/boutiques/aparts,3186,
2012-02,Buenos Aires,4 y 5 estrellas,2193,
2012-02,Buenos Aires,Para Hoteles,4518,
2012-02,CABA,1 y 2 estrellas,1028,
2012-02,CABA,3 estrellas/boutiques/aparts,3861,
2012-02,CABA,4 y 5 estrellas,8428,
2012-02,CABA,Para Hoteles,1652,
2012-02,Córdoba,1 y 2 estrellas,1794,
2012-02,Córdoba,3 estrellas/boutiques/aparts,1506,
2012-02,Córdoba,4 y 5 estrellas,872,
2012-02,Córdoba,Para Hoteles,2293,
2012-02,Cuyo,1 y 2 estrellas,1017,
2012-02,Cuyo,3 estrellas/boutiques/aparts,1941,
2012-02,Cuyo,4 y 5 estrellas,2553,
2012-02,Cuyo,Para Hoteles,946,
2012-02,Litoral,1 y 2 estrellas,860,
2012-02,Litoral,3 estrellas/boutiques/aparts,1903,
2012-02,Litoral,4 y 5 estrellas,3599,
2012-02,Litoral,Para Hoteles,1972,
2012-02,Norte,1 y 2 estrellas,864,
2012-02,Norte,3 estrellas/boutiques/aparts,1544,
2012-02,Norte,4 y 5 estrellas,1411,
2012-02,Norte,Para Hoteles,1406,
2012-02,Patagonia,1 y 2 estrellas,1546,
2012-02,Patagonia,3 estrellas/boutiques/aparts,2786,
2012-02,Patagonia,4 y 5 estrellas,3155,
2012-02,Patagonia,Para Hoteles,2565,
2012-03,Buenos Aires,1 y 2 estrellas,1533,
2012-03,Buenos Aires,3 estrellas/boutiques/aparts,2328,
2012-03,Buenos Aires,4 y 5 estrellas,1845,
2012-03,Buenos Aires,Para Hoteles,3792,
2012-03,CABA,1 y 2 estrellas,1022,
2012-03,CABA,3 estrellas/boutiques/aparts,3842,
2012-03,CABA,4 y 5 estrellas,8591,
2012-03,CABA,Para Hoteles,1658,
2012-03,Córdoba,1 y 2 estrellas,1560,
2012-03,Córdoba,3 estrellas/boutiques/aparts,1413,
2012-03,Córdoba,4 y 5 estrellas,898,
2012-03,Córdoba,Para Hoteles,1736,
2012-03,Cuyo,1 y 2 estrellas,1028,
2012-03,Cuyo,3 estrellas/boutiques/aparts,1885,
2012-03,Cuyo,4 y 5 estrellas,2523,
2012-03,Cuyo,Para Hoteles,826,
2012-03,Litoral,1 y 2 estrellas,938,
2012-03,Litoral,3 estrellas/boutiques/aparts,1928,
2012-03,Litoral,4 y 5 estrellas,3756,
2012-03,Litoral,Para Hoteles,1870,
2012-03,Norte,1 y 2 estrellas,860,
2012-03,Norte,3 estrellas/boutiques/aparts,1655,
2012-03,Norte,4 y 5 estrellas,1326,
2012-03,Norte,Para Hoteles,1310,
2012-03,Patagonia,1 y 2 estrellas,1354,
2012-03,Patagonia,3 estrellas/boutiques/aparts,2702,
2012-03,Patagonia,4 y 5 estrellas,2996,
